approximator,id_config_approximator,used_budget,n_players,MSE_mean,MSE_q1,MSE_q2,MSE_q3,game_id
LeverageSHAP,37,17,16,0.07765340702599847,0.03968033684691762,0.05870215509231545,0.10592934035836368,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,37,16,0.6024125919240149,0.11176321715586696,0.2579351951774279,0.6904036643670924,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,82,16,0.034762313172613274,0.016526192387858525,0.0234966374606934,0.03838253858366425,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,179,16,0.009196981562234004,0.004273973962805725,0.00619377881577075,0.012286427145416001,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,394,16,0.004201504208406123,0.0020217782276214,0.0030066450688821,0.0039823939596904,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,864,16,0.0011712576241002066,0.00068097928973375,0.0009185537686089,0.0015993422774103002,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,1895,16,0.0004356821246365967,0.000263204156692225,0.0004109353894627,0.0005092092879802001,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,4156,16,0.00023552933385841184,0.0001266816745235,0.00015822993342675,0.0002555484091854,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,9117,16,5.374893182143691e-05,2.861980884712612e-05,4.168192094619837e-05,5.049720733101011e-05,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,37,20000,16,1.3999533418499718e-05,7.687226544410868e-06,1.1267827904398102e-05,1.616280489308453e-05,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,17,16,2.8589866477814665,0.7600244067530524,1.478091585517189,2.7351777043734087,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,37,16,0.17427158346609278,0.09422703791136924,0.1490627862374925,0.22748141253991355,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,82,16,0.09331421944294717,0.0335467516358306,0.0691657771563141,0.1103950629961961,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,179,16,0.01781269332299592,0.010436347518878526,0.012738314661988201,0.023952998642955425,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,394,16,0.00980672526986624,0.004286907319771825,0.00780529289914505,0.011064357177114076,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,864,16,0.002838582972088463,0.001877425357198625,0.0024592124624677,0.003515959107131825,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,1895,16,0.0010184324435592667,0.0005331264191613,0.0008358765874336,0.001321000580437075,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,4156,16,0.00044018086860116336,0.0002384009326194,0.00039864630566904997,0.000583086967499625,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,9117,16,0.0002760769759342129,0.000109250831979975,0.0001852137426284,0.000371899440205075,CIFAR-10 ViT16 ($d=16$)
LeverageSHAP,39,20000,16,4.736810178701812e-05,2.0511935793711046e-05,4.0493730219614525e-05,6.631939778644049e-05,CIFAR-10 ViT16 ($d=16$)
MSR,37,17,16,1.1026318913384507,0.7770034475433893,1.065579865239009,1.2808536780814226,CIFAR-10 ViT16 ($d=16$)
MSR,37,37,16,0.4724557026618541,0.2817695320434711,0.3931268654080057,0.6496833216497231,CIFAR-10 ViT16 ($d=16$)
MSR,37,82,16,0.14473377855704825,0.09174986763368598,0.11803461266648349,0.18000772002171173,CIFAR-10 ViT16 ($d=16$)
MSR,37,179,16,0.05134747923949116,0.03311997007710547,0.04419837625964605,0.06039087820935965,CIFAR-10 ViT16 ($d=16$)
MSR,37,394,16,0.021071171809602073,0.01251197413039155,0.01803308128622315,0.027051460823084,CIFAR-10 ViT16 ($d=16$)
MSR,37,864,16,0.007094193697526756,0.004922485589553075,0.00696089496496955,0.0085676749627126,CIFAR-10 ViT16 ($d=16$)
MSR,37,1895,16,0.0018063468003429565,0.001241379151569625,0.00156650891169855,0.002180982196683925,CIFAR-10 ViT16 ($d=16$)
MSR,37,4156,16,0.0009670142657576094,0.000420595126788575,0.0006410521385607499,0.00135051630205015,CIFAR-10 ViT16 ($d=16$)
MSR,37,9117,16,0.0001992604651980937,8.385439772210101e-05,0.00016480701879575,0.000252076989682425,CIFAR-10 ViT16 ($d=16$)
MSR,37,20000,16,4.243649683575842e-05,1.1936588649628303e-05,3.4191420964387615e-05,5.6825925255944994e-05,CIFAR-10 ViT16 ($d=16$)
MSR,39,17,16,2.4094870286852985,1.7105789061933174,2.3630556138967824,3.0420100301807635,CIFAR-10 ViT16 ($d=16$)
MSR,39,37,16,0.7757713418595854,0.4603467203995409,0.7047187905766091,0.9246753246171098,CIFAR-10 ViT16 ($d=16$)
MSR,39,82,16,0.5654943811843945,0.396029143331748,0.5430258575583204,0.7366383295204889,CIFAR-10 ViT16 ($d=16$)
MSR,39,179,16,0.10896937312664084,0.07887724881092047,0.1061765663933555,0.12841007946615368,CIFAR-10 ViT16 ($d=16$)
MSR,39,394,16,0.07811540740555377,0.04667524283797457,0.0745017645104661,0.09836381771203864,CIFAR-10 ViT16 ($d=16$)
MSR,39,864,16,0.01717314837983701,0.01129928268661245,0.01768581260158595,0.020784307839417076,CIFAR-10 ViT16 ($d=16$)
MSR,39,1895,16,0.004540148585779286,0.0029375622545526753,0.0043265769992203995,0.005707910390788825,CIFAR-10 ViT16 ($d=16$)
MSR,39,4156,16,0.0026849468080183633,0.00145823170433855,0.0028266798743846,0.00339683023488735,CIFAR-10 ViT16 ($d=16$)
MSR,39,9117,16,0.0014112530607378701,0.000708214869346175,0.0013535314284399001,0.00184650020462955,CIFAR-10 ViT16 ($d=16$)
MSR,39,20000,16,0.00022621326821636973,0.000122659532807775,0.00019505545701905,0.0002952758498602,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,17,16,0.0963888735605242,0.07096343516869186,0.08480981044416419,0.11600414646595467,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,37,16,0.08941077301982116,0.044923895573284245,0.08423197239840566,0.12308650336315946,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,82,16,0.04630880190516514,0.030271488410829325,0.0378627344183176,0.0623879975101852,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,179,16,0.020220680170353646,0.012117772198519124,0.0186780061191005,0.026600398821256675,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,394,16,0.00722147035323475,0.0040378836188729,0.00589302440516135,0.008814543368072525,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,864,16,0.004134490709668074,0.00179887049138965,0.00314805053518955,0.0055718023177969995,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,1895,16,0.0011926290552848266,0.0008042506266702,0.00110875014442625,0.0014222770610086,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,4156,16,0.00067821940862387,0.00036458712618135,0.0005633957749798,0.0007879436485760749,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,9117,16,0.00032281044442163375,0.000198831618740125,0.00030269581119514997,0.000422533617416075,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,37,20000,16,0.00013469474219409672,8.892064325950359e-05,0.00012386062284295,0.000157300621835975,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,39,17,16,0.24451104842000415,0.12741258809696457,0.20042732028416366,0.28405228783555136,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,39,37,16,0.14101855081285683,0.08187130701019325,0.13473276453663885,0.15504040265577593,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,39,82,16,0.055099939939812166,0.0245820586139985,0.04391165241123325,0.0750298021088048,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,39,179,16,0.02026648384275521,0.013636487453335875,0.0181345830021319,0.024714045004036175,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,39,394,16,0.009590231439246822,0.005657132354495876,0.008887018233728651,0.01125425224057025,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,39,864,16,0.0035910503319700735,0.0023826887100424996,0.0036793784862654997,0.0046326451768693,CIFAR-10 ViT16 ($d=16$)
PermutationSampling,39,1895,16,0.0015884511093501468,0.0010242665546635501,0.0013120314153156,0.0017614608923361501,CIFAR-10 ViT16 ($d=16$)
