,sampling,evaluations,regression,shapiq_post_processing,total,game_id,id_explain,approximator,budget,n_players,id_config_approximator
0,0.0006532669067382812,0.015231847763061523,0.00025272369384765625,3.814697265625e-05,0.01617598533630371,california_housing_random_forest,0,LeverageSHAP,9,8,37
0,0.0007140636444091797,0.018909454345703125,0.00023031234741210938,2.9087066650390625e-05,0.019882917404174805,california_housing_random_forest,0,LeverageSHAP,13,8,37
0,0.000881195068359375,0.031939029693603516,0.00023698806762695312,3.0517578125e-05,0.033087730407714844,california_housing_random_forest,0,LeverageSHAP,18,8,37
0,0.0011718273162841797,0.04404020309448242,0.00029921531677246094,4.696846008300781e-05,0.04555821418762207,california_housing_random_forest,0,LeverageSHAP,27,8,37
0,0.0013146400451660156,0.053848981857299805,0.00025177001953125,3.218650817871094e-05,0.05544757843017578,california_housing_random_forest,0,LeverageSHAP,39,8,37
0,0.0019414424896240234,0.0820627212524414,0.0003044605255126953,3.337860107421875e-05,0.08434200286865234,california_housing_random_forest,0,LeverageSHAP,57,8,37
0,0.0022764205932617188,0.13795113563537598,0.0002789497375488281,3.886222839355469e-05,0.14054536819458008,california_housing_random_forest,0,LeverageSHAP,83,8,37
0,0.003443479537963867,0.16554641723632812,0.0003254413604736328,4.0531158447265625e-05,0.1693558692932129,california_housing_random_forest,0,LeverageSHAP,121,8,37
0,0.0036516189575195312,0.23784089088439941,0.00027751922607421875,2.765655517578125e-05,0.24179768562316895,california_housing_random_forest,0,LeverageSHAP,176,8,37
0,0.0007483959197998047,0.3199880123138428,0.0003249645233154297,3.790855407714844e-05,0.32109928131103516,california_housing_random_forest,0,LeverageSHAP,256,8,37
0,0.0004277229309082031,0.013080596923828125,0.0003571510314941406,4.57763671875e-05,0.013911247253417969,california_housing_random_forest,0,OldLeverageSHAP,9,8,37
0,0.0005178451538085938,0.014462947845458984,0.00026679039001464844,4.982948303222656e-05,0.015297412872314453,california_housing_random_forest,0,OldLeverageSHAP,13,8,37
0,0.0006198883056640625,0.029035091400146484,0.00035071372985839844,4.863739013671875e-05,0.030054330825805664,california_housing_random_forest,0,OldLeverageSHAP,18,8,37
0,0.0010569095611572266,0.042600154876708984,0.0003101825714111328,4.8160552978515625e-05,0.04401540756225586,california_housing_random_forest,0,OldLeverageSHAP,27,8,37
0,0.0013616085052490234,0.06161093711853027,0.00034809112548828125,5.6743621826171875e-05,0.06337738037109375,california_housing_random_forest,0,OldLeverageSHAP,39,8,37
0,0.001999378204345703,0.08788704872131348,0.0003402233123779297,4.8160552978515625e-05,0.09027481079101562,california_housing_random_forest,0,OldLeverageSHAP,57,8,37
0,0.0024230480194091797,0.14496469497680664,0.0003185272216796875,5.14984130859375e-05,0.14775776863098145,california_housing_random_forest,0,OldLeverageSHAP,83,8,37
0,0.0033495426177978516,0.17301249504089355,0.000514984130859375,5.435943603515625e-05,0.17693138122558594,california_housing_random_forest,0,OldLeverageSHAP,121,8,37
0,0.0036313533782958984,0.24848461151123047,0.00041031837463378906,4.482269287109375e-05,0.25257110595703125,california_housing_random_forest,0,OldLeverageSHAP,176,8,37
